"Year","Month","City","Codigo_TCAC","Alimento","Precio_kg"
2023,12,"Barranquilla",NA,"Aceite girasol",18355
2023,12,"Barranquilla","D013","Aceite vegetal mezcla",8948
2023,12,"Barranquilla","B006","Ahuyama",1359
2023,12,"Barranquilla",NA,"Ajo importado",8689.5
2023,12,"Barranquilla","F069","Alas de pollo con costillar",8319
2023,12,"Barranquilla","B014","Apio",1617.5
2023,12,"Barranquilla","A010","Arroz de primera",3887
2023,12,"Barranquilla",NA,"Arroz de segunda",3481
2023,12,"Barranquilla",NA,"Arroz excelso",4090
2023,12,"Barranquilla",NA,"Arveja verde en vaina",9869
2023,12,"Barranquilla","A012","Avena en hojuelas",8923
2023,12,"Barranquilla","A029","Avena molida",11643.5
2023,12,"Barranquilla",NA,"Azúcar refinada",4498
2023,12,"Barranquilla","K003","Azúcar sulfitada",4047
2023,12,"Barranquilla","C010","Banano criollo",1216
2023,12,"Barranquilla",NA,"Banano Urabá",1270
2023,12,"Barranquilla","E007","Basa, entero congelado importado",10853
2023,12,"Barranquilla",NA,"Berenjena",2994
2023,12,"Barranquilla","E010","Bocachico importado congelado",10653
2023,12,"Barranquilla","B025","Brócoli",8068.5
2023,12,"Barranquilla","L005","Café instantáneo",122261.5
2023,12,"Barranquilla","L006","Café molido",34009.5
2023,12,"Barranquilla",NA,"Carne de cerdo, brazo con hueso",17167
2023,12,"Barranquilla","F008","Carne de cerdo, brazo sin hueso",19167
2023,12,"Barranquilla","F015","Carne de cerdo, costilla",17083
2023,12,"Barranquilla",NA,"Carne de cerdo, lomo con hueso",17167
2023,12,"Barranquilla","F019","Carne de cerdo, lomo sin hueso",20917
2023,12,"Barranquilla",NA,"Carne de cerdo, pernil con hueso",17167
2023,12,"Barranquilla","F118","Carne de res, bola de brazo",25912.5
2023,12,"Barranquilla","F118","Carne de res, bola de pierna",25908.5
2023,12,"Barranquilla",NA,"Carne de res, bota",25912.5
2023,12,"Barranquilla","F100","Carne de res, cadera",26850
2023,12,"Barranquilla",NA,"Carne de res, centro de pierna",25892
2023,12,"Barranquilla","F099","Carne de res, chatas",27875
2023,12,"Barranquilla","F107","Carne de res, costilla",16417
2023,12,"Barranquilla","F100","Carne de res, falda",20842
2023,12,"Barranquilla",NA,"Carne de res, lomo fino",41625
2023,12,"Barranquilla","F118","Carne de res, muchacho",26412.5
2023,12,"Barranquilla","F100","Carne de res, punta de anca",26842
2023,12,"Barranquilla","F098","Carne de res, sobrebarriga",22362.5
2023,12,"Barranquilla",NA,"Cebolla cabezona blanca",2203
2023,12,"Barranquilla",NA,"Cebolla cabezona roja peruana",2339
2023,12,"Barranquilla",NA,"Cebolla junca Berlín",2461
2023,12,"Barranquilla",NA,"Cebollín chino",5455
2023,12,"Barranquilla",NA,"Chocolate dulce",21070.5
2023,12,"Barranquilla",NA,"Cilantro",6442
2023,12,"Barranquilla","C019","Coco",5100
2023,12,"Barranquilla",NA,"Coles",4376
2023,12,"Barranquilla","B039","Coliflor",7904.5
2023,12,"Barranquilla",NA,"Color (bolsita)",18960
2023,12,"Barranquilla","C021","Curuba",2458
2023,12,"Barranquilla","B044","Espinaca",8210
2023,12,"Barranquilla",NA,"Fécula de maíz",23671
2023,12,"Barranquilla",NA,"Fríjol cabeza negra importado",7092
2023,12,"Barranquilla",NA,"Fríjol cabeza negra nacional",6688
2023,12,"Barranquilla",NA,"Fríjol palomito importado",7356.5
2023,12,"Barranquilla",NA,"Fríjol verde en vaina",8835
2023,12,"Barranquilla",NA,"Fríjol Zaragoza",7844
2023,12,"Barranquilla",NA,"Galletas dulces redondas con crema",18646
2023,12,"Barranquilla","A027","Galletas saladas",12470.5
2023,12,"Barranquilla","K018","Gelatina",38352.5
2023,12,"Barranquilla",NA,"Guayaba Atlántico",2075
2023,12,"Barranquilla",NA,"Guayaba común",2619
2023,12,"Barranquilla","C032","Guayaba pera",4060.5
2023,12,"Barranquilla","B052","Habichuela",3445
2023,12,"Barranquilla",NA,"Habichuela larga",4733
2023,12,"Barranquilla","A040","Harina de trigo",2907
2023,12,"Barranquilla","A034","Harina precocida de maíz",3358
2023,12,"Barranquilla",NA,"Jugo de frutas",8938
2023,12,"Barranquilla","K018","Jugo instantáneo (sobre)",33685
2023,12,"Barranquilla","G008","Leche en polvo",50636
2023,12,"Barranquilla","B059","Lechuga Batavia",2952.5
2023,12,"Barranquilla","T026","Lenteja importada",6668.5
2023,12,"Barranquilla",NA,"Limón común Ciénaga",6384
2023,12,"Barranquilla","C044","Limón Tahití",2045
2023,12,"Barranquilla","E003","Lomitos de atún en lata",38859
2023,12,"Barranquilla","C045","Lulo",4600
2023,12,"Barranquilla","A044","Maíz amarillo trillado",2017.5
2023,12,"Barranquilla","A046","Maíz blanco trillado",2180.5
2023,12,"Barranquilla",NA,"Mandarina común",2306
2023,12,"Barranquilla",NA,"Mango de azúcar",3872
2023,12,"Barranquilla","C052","Mango Tommy",3404
2023,12,"Barranquilla","C056","Maracuyá",2550
2023,12,"Barranquilla",NA,"Maracuyá valluno",2536
2023,12,"Barranquilla","D018","Margarina",17895
2023,12,"Barranquilla","D020","Mayonesa doy pack",16181.5
2023,12,"Barranquilla",NA,"Mojarra lora entera congelada",17067
2023,12,"Barranquilla",NA,"Mojarra lora entera fresca",13667
2023,12,"Barranquilla","C061","Mora de Castilla",5734
2023,12,"Barranquilla",NA,"Mostaza doy pack",13925
2023,12,"Barranquilla",NA,"Panela cuadrada blanca",3992
2023,12,"Barranquilla","B071","Papa criolla limpia",3847.5
2023,12,"Barranquilla","B074","Papa única",1549
2023,12,"Barranquilla","A072","Pastas alimenticias",6960
2023,12,"Barranquilla","F085","Pechuga de pollo",11460.5
2023,12,"Barranquilla","B077","Pepino cohombro",964
2023,12,"Barranquilla",NA,"Perejil",10788
2023,12,"Barranquilla","F091","Pierna pernil con rabadilla",6762.5
2023,12,"Barranquilla","B080","Pimentón",3494.5
2023,12,"Barranquilla",NA,"Piña perolera",3810
2023,12,"Barranquilla","B092","Plátano hartón verde",2373
2023,12,"Barranquilla","F077","Pollo entero congelado sin vísceras",8748
2023,12,"Barranquilla","G018","Queso costeño",18750
2023,12,"Barranquilla",NA,"Rábano rojo",6952
2023,12,"Barranquilla",NA,"Remolacha",1596
2023,12,"Barranquilla","B099","Repollo blanco",2134.5
2023,12,"Barranquilla","L015","Sal yodada",1983.5
2023,12,"Barranquilla","L017","Salsa de tomate doy pack",16279
2023,12,"Barranquilla","E039","Sardinas en lata",14893
2023,12,"Barranquilla","E043","Tilapia roja entera congelada",18733
2023,12,"Barranquilla",NA,"Tilapia roja entera fresca",15733
2023,12,"Barranquilla","B103","Tomate chonto",3592
2023,12,"Barranquilla","C082","Tomate de árbol",1844.5
2023,12,"Barranquilla",NA,"Tomate Riogrande bumangués",4009.5
2023,12,"Barranquilla",NA,"Vinagre",1936
2023,12,"Barranquilla",NA,"Yuca criolla",1326
2023,12,"Barranquilla","B110","Zanahoria",1880
2023,12,"Bogotá",NA,"Aceite girasol",16629.5
2023,12,"Bogotá",NA,"Aceite soya",8329.75
2023,12,"Bogotá","D013","Aceite vegetal mezcla",3217
2023,12,"Bogotá",NA,"Acelga",744
2023,12,"Bogotá",NA,"Aguacate Hass",7011
2023,12,"Bogotá","C002","Aguacate papelillo",10392
2023,12,"Bogotá","B006","Ahuyama",2229
2023,12,"Bogotá",NA,"Ahuyamín (Sakata)",1894
2023,12,"Bogotá",NA,"Ajo",12874
2023,12,"Bogotá",NA,"Ajo importado",8668
2023,12,"Bogotá","F069","Alas de pollo con costillar",8188.75
2023,12,"Bogotá",NA,"Alas de pollo sin costillar",10421.8
2023,12,"Bogotá","E001","Almejas con concha",7269.66666666667
2023,12,"Bogotá","E001","Almejas sin concha",15818
2023,12,"Bogotá","B014","Apio",893
2023,12,"Bogotá","B015","Arracacha amarilla",2776
2023,12,"Bogotá","A010","Arroz de primera",3896.25
2023,12,"Bogotá",NA,"Arroz de segunda",3726.33333333333
2023,12,"Bogotá",NA,"Arroz excelso",5773
2023,12,"Bogotá",NA,"Arroz sopa cristal",3624
2023,12,"Bogotá",NA,"Arveja amarilla seca importada",4637
2023,12,"Bogotá",NA,"Arveja enlatada",12537
2023,12,"Bogotá",NA,"Arveja verde en vaina",5036
2023,12,"Bogotá","B019","Arveja verde en vaina pastusa",4503
2023,12,"Bogotá","T003","Arveja verde seca importada",4453
2023,12,"Bogotá","A012","Avena en hojuelas",9925.66666666667
2023,12,"Bogotá","A029","Avena molida",10007
2023,12,"Bogotá","K004","Azúcar morena",5368.75
2023,12,"Bogotá",NA,"Azúcar refinada",5203.66666666667
2023,12,"Bogotá","K003","Azúcar sulfitada",5006.66666666667
2023,12,"Bogotá",NA,"Bagre rayado en postas congelado",30290.5
2023,12,"Bogotá","E005","Bagre rayado entero congelado",26055.6666666667
2023,12,"Bogotá",NA,"Bagre rayado entero fresco",23373
2023,12,"Bogotá","C009","Banano bocadillo",3400
2023,12,"Bogotá","C010","Banano criollo",2248
2023,12,"Bogotá",NA,"Banano Urabá",1731
2023,12,"Bogotá","E007","Basa, entero congelado importado",12350.3333333333
2023,12,"Bogotá","E030","Basa, filete congelado importado",12833.3333333333
2023,12,"Bogotá",NA,"Berenjena",2367
2023,12,"Bogotá",NA,"Bocachico criollo fresco",20898
2023,12,"Bogotá",NA,"Bocadillo veleño",409
2023,12,"Bogotá",NA,"Borojó",5298
2023,12,"Bogotá","B025","Brócoli",3150
2023,12,"Bogotá",NA,"Cachama de cultivo fresca",11771
2023,12,"Bogotá","L005","Café instantáneo",124609
2023,12,"Bogotá","L006","Café molido",32660.25
2023,12,"Bogotá",NA,"Calabacín",937
2023,12,"Bogotá",NA,"Calabaza",436
2023,12,"Bogotá","E015","Calamar anillos",34075.3333333333
2023,12,"Bogotá","E015","Calamar blanco entero",15499.3333333333
2023,12,"Bogotá","E017","Camarón tigre precocido seco",34912
2023,12,"Bogotá",NA,"Camarón tití precocido seco",29401
2023,12,"Bogotá",NA,"Carne de cerdo, brazo con hueso",16995.8
2023,12,"Bogotá","F008","Carne de cerdo, brazo sin hueso",17960.8
2023,12,"Bogotá",NA,"Carne de cerdo, cabeza de lomo",18575.4
2023,12,"Bogotá","F015","Carne de cerdo, costilla",19288.6
2023,12,"Bogotá","F019","Carne de cerdo, lomo sin hueso",21589.6
2023,12,"Bogotá",NA,"Carne de cerdo, pernil con hueso",17884.75
2023,12,"Bogotá","F025","Carne de cerdo, pernil sin hueso",19037.25
2023,12,"Bogotá",NA,"Carne de cerdo, tocino barriga",20168.75
2023,12,"Bogotá","F029","Carne de cerdo, tocino papada",15289.75
2023,12,"Bogotá",NA,"Carne de res molida, murillo",19390.75
2023,12,"Bogotá","F118","Carne de res, bola de brazo",26510
2023,12,"Bogotá","F118","Carne de res, bola de pierna",25287.5
2023,12,"Bogotá",NA,"Carne de res, bota",25287.5
2023,12,"Bogotá","F100","Carne de res, cadera",25287.5
2023,12,"Bogotá",NA,"Carne de res, centro de pierna",25287.5
2023,12,"Bogotá","F099","Carne de res, chatas",32718.75
2023,12,"Bogotá",NA,"Carne de res, cogote",20279.75
2023,12,"Bogotá","F107","Carne de res, costilla",20443.75
2023,12,"Bogotá","F100","Carne de res, falda",22223.75
2023,12,"Bogotá",NA,"Carne de res, lomo de brazo",24771
2023,12,"Bogotá",NA,"Carne de res, lomo fino",42271.5
2023,12,"Bogotá","F098","Carne de res, morrillo",23034
2023,12,"Bogotá","F118","Carne de res, muchacho",29375.25
2023,12,"Bogotá",NA,"Carne de res, murillo",19362.25
2023,12,"Bogotá",NA,"Carne de res, paletero",23927
2023,12,"Bogotá","F100","Carne de res, pecho",22870
2023,12,"Bogotá","F100","Carne de res, punta de anca",31880.25
2023,12,"Bogotá","F098","Carne de res, sobrebarriga",22794
2023,12,"Bogotá",NA,"Cazuela de mariscos (paquete)",15802
2023,12,"Bogotá",NA,"Cebolla cabezona blanca",1738
2023,12,"Bogotá",NA,"Cebolla cabezona roja",1938
2023,12,"Bogotá","B029","Cebolla junca Aquitania",2485
2023,12,"Bogotá",NA,"Cebolla puerro",2304
2023,12,"Bogotá",NA,"Chocolate dulce",18947.75
2023,12,"Bogotá",NA,"Chocolate instantáneo",35865
2023,12,"Bogotá","A053","Chócolo mazorca",1720
2023,12,"Bogotá",NA,"Cidra",1649
2023,12,"Bogotá",NA,"Cilantro",2193
2023,12,"Bogotá",NA,"Ciruela importada",14638
2023,12,"Bogotá",NA,"Ciruela roja",1642
2023,12,"Bogotá","C019","Coco",6641
2023,12,"Bogotá",NA,"Coles",2744
2023,12,"Bogotá","B039","Coliflor",3985
2023,12,"Bogotá",NA,"Cuchuco de cebada",4883.33333333333
2023,12,"Bogotá","A044","Cuchuco de maíz",4305
2023,12,"Bogotá","C021","Curuba",1622
2023,12,"Bogotá",NA,"Durazno importado",16444
2023,12,"Bogotá",NA,"Durazno nacional",7063
2023,12,"Bogotá","B044","Espinaca",2848
2023,12,"Bogotá",NA,"Fécula de maíz",27885
2023,12,"Bogotá","C025","Fresa",7546
2023,12,"Bogotá",NA,"Fríjol bolón",11138.25
2023,12,"Bogotá",NA,"Fríjol cargamanto rojo",9564.33333333333
2023,12,"Bogotá",NA,"Fríjol enlatado",18542
2023,12,"Bogotá",NA,"Fríjol nima calima",8213.66666666667
2023,12,"Bogotá",NA,"Fríjol radical",7362
2023,12,"Bogotá","B046","Fríjol verde cargamanto",4737
2023,12,"Bogotá",NA,"Galletas dulces redondas con crema",19670
2023,12,"Bogotá","A027","Galletas saladas",15052
2023,12,"Bogotá",NA,"Garbanzo importado",10198.5
2023,12,"Bogotá","K018","Gelatina",39752
2023,12,"Bogotá","C028","Granadilla",6669
2023,12,"Bogotá","C030","Guanábana",4545
2023,12,"Bogotá","C032","Guayaba pera",1881
2023,12,"Bogotá",NA,"Gulupa",1839
2023,12,"Bogotá",NA,"Haba verde",1870
2023,12,"Bogotá","B052","Habichuela",2074
2023,12,"Bogotá","A040","Harina de trigo",3859
2023,12,"Bogotá","A034","Harina precocida de maíz",4610.25
2023,12,"Bogotá",NA,"Higo",7466
2023,12,"Bogotá","J004","Huevo rojo A",550.333333333333
2023,12,"Bogotá","J004","Huevo rojo AA",588.333333333333
2023,12,"Bogotá",NA,"Huevo rojo B",521.333333333333
2023,12,"Bogotá","J004","Huevo rojo extra",633.333333333333
2023,12,"Bogotá","K018","Jugo instantáneo (sobre)",34237.3333333333
2023,12,"Bogotá","C042","Kiwi",15126
2023,12,"Bogotá","B059","Lechuga Batavia",2498
2023,12,"Bogotá","B060","Lechuga crespa verde",3013
2023,12,"Bogotá","T026","Lenteja importada",7026
2023,12,"Bogotá","C044","Limón común",1417
2023,12,"Bogotá","C044","Limón Tahití",1936
2023,12,"Bogotá","E003","Lomitos de atún en lata",30354
2023,12,"Bogotá","C045","Lulo",3603
2023,12,"Bogotá",NA,"Maíz amarillo cáscara",2253.66666666667
2023,12,"Bogotá","A044","Maíz amarillo trillado",2832
2023,12,"Bogotá","A046","Maíz blanco trillado",2646.33333333333
2023,12,"Bogotá",NA,"Maíz pira",5296.66666666667
2023,12,"Bogotá","C050","Mandarina Arrayana",2326
2023,12,"Bogotá","C051","Mango común",1369
2023,12,"Bogotá","C052","Mango Tommy",2129
2023,12,"Bogotá",NA,"Manteca",7378.75
2023,12,"Bogotá",NA,"Manzana nacional",3800
2023,12,"Bogotá","C054","Manzana roja importada",8396
2023,12,"Bogotá","C054","Manzana royal gala importada",8302
2023,12,"Bogotá","C054","Manzana verde importada",10035
2023,12,"Bogotá","C056","Maracuyá",2758
2023,12,"Bogotá","D018","Margarina",15330
2023,12,"Bogotá","D020","Mayonesa doy pack",18887.5
2023,12,"Bogotá","C060","Melón Cantalup",2893
2023,12,"Bogotá","E030","Merluza, filete nacional",53121
2023,12,"Bogotá","C061","Mora de Castilla",5981
2023,12,"Bogotá",NA,"Muslos de pollo sin rabadilla",11335.6
2023,12,"Bogotá","C062","Naranja Sweet",1549
2023,12,"Bogotá",NA,"Naranja Valencia",1549
2023,12,"Bogotá",NA,"Nicuro fresco",10600
2023,12,"Bogotá",NA,"Palmitos de mar",14863
2023,12,"Bogotá",NA,"Panela cuadrada morena",3525.25
2023,12,"Bogotá","B071","Papa criolla limpia",4060
2023,12,"Bogotá","B071","Papa criolla sucia",3247
2023,12,"Bogotá","B074","Papa parda pastusa",1931
2023,12,"Bogotá",NA,"Papa R-12 negra",1666
2023,12,"Bogotá",NA,"Papa R-12 roja",1533
2023,12,"Bogotá",NA,"Papa rubí",1418
2023,12,"Bogotá",NA,"Papa sabanera",3250
2023,12,"Bogotá",NA,"Papa superior",1811
2023,12,"Bogotá","B074","Papa única",1430
2023,12,"Bogotá",NA,"Papaya Paulina",1104
2023,12,"Bogotá",NA,"Papaya tainung",2000
2023,12,"Bogotá","E043","Pargo rojo entero congelado",44513
2023,12,"Bogotá","A072","Pastas alimenticias",7827
2023,12,"Bogotá","C079","Patilla",1621
2023,12,"Bogotá","C079","Patilla baby",2521
2023,12,"Bogotá","F085","Pechuga de pollo",15099.4
2023,12,"Bogotá","B077","Pepino cohombro",1683
2023,12,"Bogotá",NA,"Pepino de rellenar",4292
2023,12,"Bogotá","C071","Pera importada",7948
2023,12,"Bogotá",NA,"Pera nacional",5781
2023,12,"Bogotá",NA,"Perejil",9652
2023,12,"Bogotá","E002","Pescado cabezas",10229
2023,12,"Bogotá","F091","Pierna pernil con rabadilla",10131.3333333333
2023,12,"Bogotá",NA,"Pierna pernil sin rabadilla",11800.4
2023,12,"Bogotá","F091","Piernas de pollo",12149.6
2023,12,"Bogotá","B080","Pimentón",4072
2023,12,"Bogotá","C072","Piña gold",3802
2023,12,"Bogotá",NA,"Piña perolera",3100
2023,12,"Bogotá",NA,"Pitahaya",18858
2023,12,"Bogotá",NA,"Plátano guineo",1389
2023,12,"Bogotá",NA,"Plátano hartón maduro",2305
2023,12,"Bogotá","B092","Plátano hartón verde",2305
2023,12,"Bogotá",NA,"Plátano hartón verde llanero",2748
2023,12,"Bogotá",NA,"Pollo entero fresco sin vísceras",11414
2023,12,"Bogotá","G017","Queso campesino",15919.25
2023,12,"Bogotá","G018","Queso costeño",22240.25
2023,12,"Bogotá","G016","Queso cuajada",16153.6666666667
2023,12,"Bogotá","G021","Queso doble crema",17977
2023,12,"Bogotá",NA,"Rábano rojo",3346
2023,12,"Bogotá",NA,"Remolacha",1173
2023,12,"Bogotá",NA,"Repollo morado",2151
2023,12,"Bogotá",NA,"Repollo verde",1927
2023,12,"Bogotá",NA,"Róbalo, filete congelado",53198
2023,12,"Bogotá","L015","Sal yodada",2125.75
2023,12,"Bogotá","E038","Salmón, filete congelado",52104.3333333333
2023,12,"Bogotá","L017","Salsa de tomate doy pack",18810.5
2023,12,"Bogotá","E039","Sardinas en lata",17287.5
2023,12,"Bogotá","E041","Sierra entera congelada",21551.6666666667
2023,12,"Bogotá",NA,"Sopa de pollo (caja)",26964.3333333333
2023,12,"Bogotá",NA,"Tangelo",3249
2023,12,"Bogotá","E043","Tilapia roja entera congelada",13602
2023,12,"Bogotá",NA,"Tilapia roja entera fresca",13418.5
2023,12,"Bogotá","E030","Tilapia, filete congelado",18736.3333333333
2023,12,"Bogotá","B103","Tomate chonto",3523
2023,12,"Bogotá","C082","Tomate de árbol",1552
2023,12,"Bogotá","B103","Tomate larga vida",4240
2023,12,"Bogotá","E047","Trucha en corte mariposa",21312.6666666667
2023,12,"Bogotá",NA,"Uchuva con cáscara",5398
2023,12,"Bogotá","C085","Uva importada",15980
2023,12,"Bogotá","C086","Uva Isabela",4164
2023,12,"Bogotá","C085","Uva red globe nacional",7653
2023,12,"Bogotá",NA,"Uva verde",9074
2023,12,"Bogotá",NA,"Yuca llanera",1731
2023,12,"Bogotá","B110","Zanahoria",1915
2023,12,"Bucaramanga","D013","Aceite vegetal mezcla",9008.5
2023,12,"Bucaramanga",NA,"Acelga",2000
2023,12,"Bucaramanga","C002","Aguacate papelillo",8481
2023,12,"Bucaramanga","B006","Ahuyama",1452
2023,12,"Bucaramanga",NA,"Ahuyamín (Sakata)",885
2023,12,"Bucaramanga",NA,"Ajo importado",8467
2023,12,"Bucaramanga",NA,"Alas de pollo sin costillar",12803
2023,12,"Bucaramanga","B014","Apio",1409
2023,12,"Bucaramanga","B015","Arracacha amarilla",3426
2023,12,"Bucaramanga","A010","Arroz de primera",4280
2023,12,"Bucaramanga",NA,"Arroz excelso",4195
2023,12,"Bucaramanga",NA,"Arroz sopa cristal",3115.5
2023,12,"Bucaramanga",NA,"Arveja amarilla seca importada",4255
2023,12,"Bucaramanga",NA,"Arveja verde en vaina",4952
2023,12,"Bucaramanga","T003","Arveja verde seca importada",4304
2023,12,"Bucaramanga","A012","Avena en hojuelas",7675
2023,12,"Bucaramanga",NA,"Azúcar refinada",4803.5
2023,12,"Bucaramanga","K003","Azúcar sulfitada",4200
2023,12,"Bucaramanga",NA,"Bagre rayado entero fresco",19358
2023,12,"Bucaramanga","C010","Banano criollo",2033
2023,12,"Bucaramanga",NA,"Banano Urabá",1921
2023,12,"Bucaramanga","E007","Basa, entero congelado importado",9000
2023,12,"Bucaramanga",NA,"Borojó",5056
2023,12,"Bucaramanga","B025","Brócoli",6712
2023,12,"Bucaramanga",NA,"Cachama de cultivo fresca",10171
2023,12,"Bucaramanga","L006","Café molido",34302.5
2023,12,"Bucaramanga",NA,"Calabacín",2658
2023,12,"Bucaramanga",NA,"Carne de res, bota",34600
2023,12,"Bucaramanga","F100","Carne de res, cadera",42150
2023,12,"Bucaramanga",NA,"Carne de res, centro de pierna",38700
2023,12,"Bucaramanga","F099","Carne de res, chatas",58750
2023,12,"Bucaramanga","F107","Carne de res, costilla",45500
2023,12,"Bucaramanga",NA,"Carne de res, lomo fino",80900
2023,12,"Bucaramanga","F118","Carne de res, muchacho",40050
2023,12,"Bucaramanga",NA,"Carne de res, murillo",27800
2023,12,"Bucaramanga","F100","Carne de res, pecho",31075
2023,12,"Bucaramanga","F100","Carne de res, punta de anca",61950
2023,12,"Bucaramanga","F098","Carne de res, sobrebarriga",33950
2023,12,"Bucaramanga",NA,"Cebolla cabezona blanca",1689
2023,12,"Bucaramanga","B027","Cebolla cabezona roja importada",1932
2023,12,"Bucaramanga",NA,"Cebolla cabezona roja ocañera",1708
2023,12,"Bucaramanga",NA,"Cebolla junca",1712
2023,12,"Bucaramanga",NA,"Chocolate dulce",16679
2023,12,"Bucaramanga","A053","Chócolo mazorca",954
2023,12,"Bucaramanga",NA,"Cilantro",5647
2023,12,"Bucaramanga",NA,"Ciruela roja",3182
2023,12,"Bucaramanga","B039","Coliflor",6115
2023,12,"Bucaramanga",NA,"Cuchuco de cebada",4232
2023,12,"Bucaramanga","A044","Cuchuco de maíz",4312
2023,12,"Bucaramanga","C021","Curuba",1432
2023,12,"Bucaramanga",NA,"Durazno nacional",5687
2023,12,"Bucaramanga","B044","Espinaca",5454
2023,12,"Bucaramanga",NA,"Fécula de maíz",30403
2023,12,"Bucaramanga","C025","Fresa",11121
2023,12,"Bucaramanga",NA,"Fríjol radical",7957
2023,12,"Bucaramanga",NA,"Fríjol verde en vaina",3396
2023,12,"Bucaramanga",NA,"Galletas dulces redondas con crema",19965
2023,12,"Bucaramanga","A027","Galletas saladas",15711
2023,12,"Bucaramanga",NA,"Garbanzo importado",7654
2023,12,"Bucaramanga","K018","Gelatina",38938.5
2023,12,"Bucaramanga","C028","Granadilla",7639
2023,12,"Bucaramanga","C030","Guanábana",5050
2023,12,"Bucaramanga","C032","Guayaba pera",2316
2023,12,"Bucaramanga","B052","Habichuela",2429
2023,12,"Bucaramanga","A040","Harina de trigo",4168
2023,12,"Bucaramanga","A034","Harina precocida de maíz",3403
2023,12,"Bucaramanga","J004","Huevo rojo A",533
2023,12,"Bucaramanga",NA,"Huevo rojo B",503
2023,12,"Bucaramanga",NA,"Jugo de frutas",8851
2023,12,"Bucaramanga","C042","Kiwi",15472
2023,12,"Bucaramanga","G008","Leche en polvo",52431
2023,12,"Bucaramanga","B059","Lechuga Batavia",2538
2023,12,"Bucaramanga","B060","Lechuga crespa verde",5576
2023,12,"Bucaramanga","T026","Lenteja importada",7308.5
2023,12,"Bucaramanga","C044","Limón común",1844.5
2023,12,"Bucaramanga","C044","Limón Tahití",1691.5
2023,12,"Bucaramanga","E003","Lomitos de atún en lata",33213
2023,12,"Bucaramanga","C045","Lulo",3386
2023,12,"Bucaramanga",NA,"Maíz pira",5916
2023,12,"Bucaramanga",NA,"Mandarina común",1711
2023,12,"Bucaramanga","C052","Mango Tommy",2426
2023,12,"Bucaramanga","C054","Manzana roja importada",8141
2023,12,"Bucaramanga","C054","Manzana royal gala importada",7609
2023,12,"Bucaramanga","C054","Manzana verde importada",9333
2023,12,"Bucaramanga","C056","Maracuyá",2563
2023,12,"Bucaramanga","D018","Margarina",16430.5
2023,12,"Bucaramanga","D020","Mayonesa doy pack",14052
2023,12,"Bucaramanga","C060","Melón Cantalup",3757
2023,12,"Bucaramanga","C061","Mora de Castilla",4217
2023,12,"Bucaramanga",NA,"Muslos de pollo sin rabadilla",12662
2023,12,"Bucaramanga",NA,"Naranja Valencia",906.5
2023,12,"Bucaramanga",NA,"Panela cuadrada blanca",3643
2023,12,"Bucaramanga",NA,"Panela cuadrada morena",4065.5
2023,12,"Bucaramanga","B071","Papa criolla limpia",2712
2023,12,"Bucaramanga","B074","Papa parda pastusa",1792.5
2023,12,"Bucaramanga","B074","Papa única",1354
2023,12,"Bucaramanga","C065","Papaya Maradol",1245
2023,12,"Bucaramanga",NA,"Papaya Paulina",1245
